method,sample_group_id,spatial_block,forest_class,target_year,horizon_seasons,mae,mape_percent,psnr_db,sam_degrees,pixels
seasonal_median,1754,1210_258,conifer,2025,4,0.0072370613925158,10.758885383605955,35.99452767403023,2.675408363342285,128
seasonal_median,1755,1210_258,conifer,2025,1,0.0093608498573303,9.555716514587402,35.76101833972698,2.255680799484253,128
seasonal_median,1756,1210_258,conifer,2025,2,0.0082730846479535,8.862629890441895,37.43511075264816,2.031969785690308,128
seasonal_median,1757,1210_258,conifer,2025,4,0.0101917283609509,10.090941429138184,35.05314874259038,2.452676057815552,128
seasonal_median,1758,1210_258,conifer,2025,1,0.0053128502331674,8.6114501953125,42.36014018375201,1.6493788957595823,128
seasonal_median,1759,1210_258,conifer,2025,2,0.0057302215136587,8.607951164245605,41.243287136930896,1.7093113660812378,128
seasonal_median,1760,1210_258,conifer,2025,4,0.0057001910172402,8.55814266204834,41.25161726896149,1.7799619436264038,128
seasonal_median,1761,1210_258,conifer,2025,1,0.0102598266676068,12.722478866577148,35.58506170634286,2.327969551086426,128
seasonal_median,1762,1210_258,conifer,2025,2,0.0105842547491192,12.88559627532959,35.14813907559584,2.208425760269165,128
seasonal_median,1763,1210_258,conifer,2025,4,0.0115291075780987,13.069994926452637,34.6061025013952,2.166191816329956,128
seasonal_median,1824,1213_265,conifer,2024,1,0.032869279384613,46.58088302612305,25.78865208144457,8.383487701416016,128
seasonal_median,1825,1213_265,conifer,2024,2,0.0346688069403171,43.07428741455078,25.32428191441228,7.896707534790039,128
seasonal_median,1826,1213_265,conifer,2024,4,0.0368267744779586,40.55503463745117,23.98586262625353,7.543789863586426,128
seasonal_median,1827,1213_265,conifer,2024,1,0.0212043728679418,18.543346405029297,28.826869549379943,4.489438533782959,128
seasonal_median,1828,1213_265,conifer,2024,2,0.0180418491363525,16.489673614501953,29.472868081740767,4.072222709655762,128
seasonal_median,1829,1213_265,conifer,2024,4,0.0196928586810827,16.974254608154297,28.191145994859845,4.235679626464844,128
seasonal_median,1830,1213_265,conifer,2024,1,0.0104287564754486,17.9891414642334,36.898556524293575,3.181437492370605,128
seasonal_median,1831,1213_265,conifer,2024,2,0.0116906762123107,18.46920394897461,35.44989759086726,3.5254485607147217,128
seasonal_median,1832,1213_265,conifer,2024,4,0.0118265049532055,17.544864654541016,35.116059477214066,3.2152907848358154,128
seasonal_median,1833,1213_265,conifer,2024,1,0.056822657585144,38.054664611816406,21.866629405692983,13.324018478393556,128
seasonal_median,1834,1213_265,conifer,2024,2,0.0584155023097991,37.540645599365234,20.24873834163648,13.116255760192873,128
seasonal_median,1835,1213_265,conifer,2024,4,0.0455430150032043,36.31968688964844,24.131033433148325,12.41629409790039,128
seasonal_median,1836,1213_265,conifer,2025,1,0.0242110881954431,43.81749725341797,28.18714047589488,7.392695903778076,128
seasonal_median,1837,1213_265,conifer,2025,2,0.0252368357032537,47.6724967956543,28.07112768331597,7.6332106590271,128
seasonal_median,1838,1213_265,conifer,2025,4,0.0193611849099397,37.31768035888672,30.45671659087834,6.190427303314209,128
seasonal_median,1839,1213_265,conifer,2025,1,0.0107646882534027,19.433080673217773,35.77062698183761,4.541557312011719,128
seasonal_median,1840,1213_265,conifer,2025,2,0.0115051669999957,20.31157493591309,35.98553242959399,4.384461402893066,128
seasonal_median,1841,1213_265,conifer,2025,4,0.0116032166406512,21.10856056213379,36.03042487696062,4.616621017456055,128
seasonal_median,1842,1213_265,conifer,2025,1,0.0241875853389501,23.24268341064453,29.779913513112582,6.776937007904053,128
seasonal_median,1843,1213_265,conifer,2025,2,0.0242159366607666,23.811094284057617,30.10711744676563,6.118743419647217,128
seasonal_median,1844,1213_265,conifer,2025,4,0.0233456697314977,23.07193946838379,30.433768395375356,5.934262752532959,128
seasonal_median,1845,1213_265,conifer,2025,1,0.0229216814041137,28.54887580871582,28.76186507606341,6.535966396331787,128
seasonal_median,1846,1213_265,conifer,2025,2,0.0221437215805053,26.81970596313477,29.2598685121295,6.012331962585449,128
seasonal_median,1847,1213_265,conifer,2025,4,0.0212521348148584,26.8952693939209,29.207327264058502,6.203774452209473,128
seasonal_median,1908,1211_270,conifer,2024,1,0.0115591930225491,20.241374969482425,33.4927720184999,3.497417449951172,128
seasonal_median,1909,1211_270,conifer,2024,2,0.0104602426290512,18.564342498779297,34.361335677499575,3.299452543258667,128
seasonal_median,1910,1211_270,conifer,2024,4,0.0111540658399462,17.869495391845703,33.70250958497661,3.278733015060425,128
seasonal_median,1911,1211_270,conifer,2024,1,0.012061228044331,17.185382843017578,35.619875227089935,4.320516109466553,128
seasonal_median,1912,1211_270,conifer,2024,2,0.0126006202772259,17.415058135986328,34.79821631410436,4.541011810302734,128
seasonal_median,1913,1211_270,conifer,2024,4,0.0107710361480712,15.739398002624512,36.409611231703245,4.002781867980957,128
seasonal_median,1914,1211_270,conifer,2024,1,0.0094552235677838,11.889156341552734,36.98301159658191,2.951531171798706,128
seasonal_median,1915,1211_270,conifer,2024,2,0.0104714231565594,13.696910858154297,36.07574723395288,3.113983392715454,128
seasonal_median,1916,1211_270,conifer,2024,4,0.0095448791980743,12.624306678771973,36.62888721036849,3.0547499656677246,128
seasonal_median,1917,1211_270,conifer,2024,1,0.0273595843464136,28.87409019470215,27.43102682847709,7.025226593017578,128
seasonal_median,1918,1211_270,conifer,2024,2,0.0236344039440155,25.58506774902344,28.20600047424517,6.003257751464844,128
seasonal_median,1919,1211_270,conifer,2024,4,0.0288276467472314,29.214298248291016,26.877234672269186,6.99588680267334,128
seasonal_median,1920,1211_270,conifer,2025,1,0.0078510632738471,16.487558364868164,37.695011086658766,3.877870321273804,128
seasonal_median,1921,1211_270,conifer,2025,2,0.0083685060963034,15.470032691955566,36.47183310928459,3.4110817909240723,128
seasonal_median,1922,1211_270,conifer,2025,4,0.0079449713230133,14.510701179504396,36.71943599026697,3.499964952468872,128
seasonal_median,1923,1211_270,conifer,2025,1,0.0085212988778948,21.504695892333984,39.03885193223415,3.832285642623901,128
seasonal_median,1924,1211_270,conifer,2025,2,0.008741189725697,22.02758407592773,39.03009572985214,3.852213144302368,128
seasonal_median,1925,1211_270,conifer,2025,4,0.0083486838266253,20.704614639282227,39.22879295652184,3.767792463302612,128
seasonal_median,1926,1211_270,conifer,2025,1,0.0092931389808654,11.429743766784668,37.17120210305015,2.8415446281433105,128
seasonal_median,1927,1211_270,conifer,2025,2,0.0077693066559731,10.516551971435549,38.43230002617062,2.561988353729248,128
seasonal_median,1928,1211_270,conifer,2025,4,0.0083209872245788,10.760760307312012,38.055091911056216,2.7747466564178467,128
seasonal_median,1929,1211_270,conifer,2025,1,0.0101026399061083,10.41305446624756,34.470651125666215,1.9862329959869385,128
seasonal_median,1930,1211_270,conifer,2025,2,0.0104434294626116,10.717580795288086,34.09161778887773,2.14979100227356,128
seasonal_median,1931,1211_270,conifer,2025,4,0.010046531446278,10.342869758605955,34.77754101473915,2.2308337688446045,128
seasonal_median,1992,1213_273,conifer,2024,1,0.0080543411895632,12.859599113464355,36.80434135085321,3.7278103828430176,128
seasonal_median,1993,1213_273,conifer,2024,2,0.0114740533754229,13.87901496887207,30.48693026207722,4.068910121917725,128
seasonal_median,1994,1213_273,conifer,2024,4,0.0084994034841656,12.73689079284668,36.20048930560776,3.787517786026001,128
seasonal_median,1995,1213_273,conifer,2024,1,0.0113042397424578,13.046951293945312,34.55367523905772,3.151685237884521,128
seasonal_median,1996,1213_273,conifer,2024,2,0.0108154015615582,12.111366271972656,35.40221066178666,3.1330604553222656,128
seasonal_median,1997,1213_273,conifer,2024,4,0.0121200485154986,12.983268737792969,32.51922639484328,3.2581329345703125,128
seasonal_median,1998,1213_273,conifer,2024,1,0.0114849507808685,13.987123489379885,34.8956504952219,2.9997832775115967,128
seasonal_median,1999,1213_273,conifer,2024,2,0.0098724467679858,12.364760398864746,36.31885763425461,2.657475233078003,128
seasonal_median,2000,1213_273,conifer,2024,4,0.0117226839065551,13.051092147827148,34.42248987175744,3.057024478912353,128
seasonal_median,2001,1213_273,conifer,2024,1,0.0151345329359173,19.665849685668945,32.741288272334884,4.675475597381592,128
seasonal_median,2002,1213_273,conifer,2024,2,0.0142050981521606,18.45022964477539,32.32413865680027,4.358851432800293,128
seasonal_median,2003,1213_273,conifer,2024,4,0.0156740546226501,20.47390937805176,32.12063177730772,4.946012020111084,128
seasonal_median,2004,1213_273,conifer,2025,1,0.0069502722471952,16.041507720947266,38.13026532262703,3.361375093460083,128
seasonal_median,2005,1213_273,conifer,2025,2,0.0074532628059387,14.871560096740724,37.4795872963894,3.0563173294067383,128
seasonal_median,2006,1213_273,conifer,2025,4,0.0063135251402854,14.505865097045898,36.47275359482518,2.2525594234466557,128
seasonal_median,2007,1213_273,conifer,2025,1,0.0074384808540344,13.055133819580078,39.1320730234618,3.504269599914551,128
seasonal_median,2008,1213_273,conifer,2025,2,0.0081323189660906,13.82308578491211,37.625054831352735,3.594768524169922,128
seasonal_median,2009,1213_273,conifer,2025,4,0.0072203776799142,12.520466804504396,39.56215003261316,3.2199454307556152,128
seasonal_median,2010,1213_273,conifer,2025,1,0.0104029579088091,13.994781494140623,36.289447746007546,3.3713388442993164,128
seasonal_median,2011,1213_273,conifer,2025,2,0.0103162927553057,14.466240882873535,36.33059216033494,3.3834927082061768,128
seasonal_median,2012,1213_273,conifer,2025,4,0.0104703111574053,14.140631675720217,36.3705964045839,3.533616542816162,128
seasonal_median,2013,1213_273,conifer,2025,1,0.0115831149742007,25.733963012695312,34.9208751686675,4.67464542388916,128
seasonal_median,2014,1213_273,conifer,2025,2,0.0123234391212463,27.08157539367676,34.66315562346863,5.095813274383545,128
seasonal_median,2015,1213_273,conifer,2025,4,0.0119448499754071,27.021541595458984,34.24105512928723,4.896698474884033,128
seasonal_median,2076,1211_265,conifer,2024,1,0.0064311721362173,9.562175750732422,37.25142904738517,2.542490243911743,128
seasonal_median,2077,1211_265,conifer,2024,2,0.0060820034705102,10.013842582702637,38.78056383227162,2.424729347229004,128
seasonal_median,2078,1211_265,conifer,2024,4,0.0063731870613992,9.556001663208008,37.39400034247374,2.339671850204468,128
seasonal_median,2079,1211_265,conifer,2024,1,0.0068746306933462,10.678884506225586,39.77580407988124,2.710808753967285,128
seasonal_median,2080,1211_265,conifer,2024,2,0.0066779851913452,10.980716705322266,40.37423662411336,2.81369423866272,128
seasonal_median,2081,1211_265,conifer,2024,4,0.0064628422260284,10.95680046081543,40.3429954762447,2.6925621032714844,128
seasonal_median,2082,1211_265,conifer,2024,1,0.0091992421075701,13.79270076751709,37.47484932350264,2.530470609664917,128
seasonal_median,2083,1211_265,conifer,2024,2,0.0105778975412249,15.042318344116213,36.36702729855372,2.593733787536621,128
seasonal_median,2084,1211_265,conifer,2024,4,0.0094569129869341,14.533355712890623,37.28546219810318,2.575522184371948,128
seasonal_median,2085,1211_265,conifer,2024,1,0.0056797466240823,9.301176071166992,40.6919065012616,1.8057174682617188,128
seasonal_median,2086,1211_265,conifer,2024,2,0.0060543119907379,9.653487205505373,40.338146311397,1.710975170135498,128
seasonal_median,2087,1211_265,conifer,2024,4,0.0060641169548034,10.29432487487793,40.06610175022991,1.8682942390441892,128
