window_id,truth_id,event_group_id,source_split,forest_class_code,forest_class_label,before_date,after_date,target_date,post_event_delay_days,method,evaluation_scope,event_pixels_total,event_pixels,background_pixels,event_history_support_fraction,eligible_history_support_fraction,event_residual_mean,background_residual_mean,residual_ratio,auroc,auprc,topk_iou,topk_precision,topk_recall
TRUTH_52774df7f88c1fc3b9a94dfe,TRUTH_52774df7f88c1fc3b9a94dfe,EVG2021_fa238b5d97a3,train_2016_2022,4,混合／待成林,2021-07-14,2021-08-23,2021-10-15,53,shared_residual_ssm,all_target,53,53,3930,0.0,0.436767578125,0.1578885316848755,0.0645651146769523,2.445415496826172,0.9528277881799414,0.4130346973962032,0.3086419753086419,0.4716981132075472,0.4716981132075472
TRUTH_52774df7f88c1fc3b9a94dfe,TRUTH_52774df7f88c1fc3b9a94dfe,EVG2021_fa238b5d97a3,train_2016_2022,4,混合／待成林,2021-07-14,2021-08-23,2021-10-15,53,shared_residual_ssm,history_supported,53,0,1789,0.0,0.436767578125,,0.0126729849725961,,,,,,
TRUTH_52774df7f88c1fc3b9a94dfe,TRUTH_52774df7f88c1fc3b9a94dfe,EVG2021_fa238b5d97a3,train_2016_2022,4,混合／待成林,2021-07-14,2021-08-23,2021-10-15,53,forest_conditioned_ssm,all_target,53,53,3930,0.0,0.436767578125,0.1578885316848755,0.0645651146769523,2.445415496826172,0.9528277881799414,0.4130346973962032,0.3086419753086419,0.4716981132075472,0.4716981132075472
TRUTH_52774df7f88c1fc3b9a94dfe,TRUTH_52774df7f88c1fc3b9a94dfe,EVG2021_fa238b5d97a3,train_2016_2022,4,混合／待成林,2021-07-14,2021-08-23,2021-10-15,53,forest_conditioned_ssm,history_supported,53,0,1789,0.0,0.436767578125,,0.0126729849725961,,,,,,
TRUTH_6b8ec142fc57e4faa403419d,TRUTH_6b8ec142fc57e4faa403419d,EVG2025_3b9fd4736ba7,holdout_2025,1,闊葉林,2025-06-28,2025-08-06,2025-10-15,70,direct_pair,all_target,121,121,3798,0.0,0.692138671875,0.1387434303760528,0.0466692671179771,2.972907781600952,0.9316201654633364,0.2841141004975193,0.198019801980198,0.3305785123966942,0.3305785123966942
TRUTH_6b8ec142fc57e4faa403419d,TRUTH_6b8ec142fc57e4faa403419d,EVG2025_3b9fd4736ba7,holdout_2025,1,闊葉林,2025-06-28,2025-08-06,2025-10-15,70,direct_pair,history_supported,121,0,2834,0.0,0.692138671875,,0.0209127012640237,,,,,,
TRUTH_6b8ec142fc57e4faa403419d,TRUTH_6b8ec142fc57e4faa403419d,EVG2025_3b9fd4736ba7,holdout_2025,1,闊葉林,2025-06-28,2025-08-06,2025-10-15,70,seasonal_median,all_target,121,121,3798,0.0,0.692138671875,0.1387434303760528,0.0409043133258819,3.391902208328247,0.9317877177635904,0.2843724591936465,0.198019801980198,0.3305785123966942,0.3305785123966942
TRUTH_6b8ec142fc57e4faa403419d,TRUTH_6b8ec142fc57e4faa403419d,EVG2025_3b9fd4736ba7,holdout_2025,1,闊葉林,2025-06-28,2025-08-06,2025-10-15,70,seasonal_median,history_supported,121,0,2834,0.0,0.692138671875,,0.0131867667660117,,,,,,
TRUTH_6b8ec142fc57e4faa403419d,TRUTH_6b8ec142fc57e4faa403419d,EVG2025_3b9fd4736ba7,holdout_2025,1,闊葉林,2025-06-28,2025-08-06,2025-10-15,70,validation_selected_physical,all_target,121,121,3798,0.0,0.692138671875,0.1387434303760528,0.0406199842691421,3.415644645690918,0.9317724857362945,0.2843667359817583,0.198019801980198,0.3305785123966942,0.3305785123966942
TRUTH_6b8ec142fc57e4faa403419d,TRUTH_6b8ec142fc57e4faa403419d,EVG2025_3b9fd4736ba7,holdout_2025,1,闊葉林,2025-06-28,2025-08-06,2025-10-15,70,validation_selected_physical,history_supported,121,0,2834,0.0,0.692138671875,,0.0128057245165109,,,,,,
TRUTH_6b8ec142fc57e4faa403419d,TRUTH_6b8ec142fc57e4faa403419d,EVG2025_3b9fd4736ba7,holdout_2025,1,闊葉林,2025-06-28,2025-08-06,2025-10-15,70,gru_h8,all_target,121,121,3798,0.0,0.692138671875,0.1227909699082374,0.035376101732254,3.4710147380828857,0.9316636855413244,0.2843167860475253,0.198019801980198,0.3305785123966942,0.3305785123966942
TRUTH_6b8ec142fc57e4faa403419d,TRUTH_6b8ec142fc57e4faa403419d,EVG2025_3b9fd4736ba7,holdout_2025,1,闊葉林,2025-06-28,2025-08-06,2025-10-15,70,gru_h8,history_supported,121,0,2834,0.0,0.692138671875,,0.0111942924559116,,,,,,
TRUTH_6b8ec142fc57e4faa403419d,TRUTH_6b8ec142fc57e4faa403419d,EVG2025_3b9fd4736ba7,holdout_2025,1,闊葉林,2025-06-28,2025-08-06,2025-10-15,70,forest_conditioned_gru,all_target,121,121,3798,0.0,0.692138671875,0.1227909699082374,0.0348815098404884,3.520231008529663,0.9316745655608214,0.2843215899842686,0.198019801980198,0.3305785123966942,0.3305785123966942
TRUTH_6b8ec142fc57e4faa403419d,TRUTH_6b8ec142fc57e4faa403419d,EVG2025_3b9fd4736ba7,holdout_2025,1,闊葉林,2025-06-28,2025-08-06,2025-10-15,70,forest_conditioned_gru,history_supported,121,0,2834,0.0,0.692138671875,,0.0105314720422029,,,,,,
TRUTH_6b8ec142fc57e4faa403419d,TRUTH_6b8ec142fc57e4faa403419d,EVG2025_3b9fd4736ba7,holdout_2025,1,闊葉林,2025-06-28,2025-08-06,2025-10-15,70,shared_residual_ssm,all_target,121,121,3798,0.0,0.692138671875,0.1306250244379043,0.0380703583359718,3.431147813796997,0.9317333176661052,0.2843490695575874,0.198019801980198,0.3305785123966942,0.3305785123966942
TRUTH_6b8ec142fc57e4faa403419d,TRUTH_6b8ec142fc57e4faa403419d,EVG2025_3b9fd4736ba7,holdout_2025,1,闊葉林,2025-06-28,2025-08-06,2025-10-15,70,shared_residual_ssm,history_supported,121,0,2834,0.0,0.692138671875,,0.0121503388509154,,,,,,
