stratum,horizon_seasons,method,groups,windows,spatial_blocks,mae,mape_percent,psnr_db,sam_degrees
class:conifer,all,transformer_h8,384,16,15,0.0103061004495733,13.202131866166988,36.7377759222488,3.299209229337672
class:conifer,all,validation_selected_gru,384,16,15,0.0101298594484736,12.703365782896675,36.93774728169269,3.1896692933514714
class:conifer,all,validation_selected_physical,384,16,15,0.0109962768328841,15.580573622137308,36.512719416167705,3.369802274120351
class:conifer,all,validation_selected_transformer,384,16,15,0.0103061004495733,13.202131866166988,36.7377759222488,3.299209229337672
class:conifer,1,forest_conditioned_gru,128,16,15,0.0101008040837768,12.719551507383583,37.13035097857306,3.1642345869913697
class:conifer,1,forest_conditioned_ssm,128,16,15,0.0102788976873853,13.037982251495125,36.89096000028985,3.1677341368049383
class:conifer,1,gru_h16,128,16,15,0.0105116647391696,13.63005593419075,36.73910552453826,3.2950271302834158
class:conifer,1,gru_h8,128,16,15,0.0101008040837768,12.719551507383583,37.13035097857306,3.1642345869913697
class:conifer,1,last_observation,128,16,15,0.0229797544052416,32.65683835744858,30.101104697994632,5.340396362356842
class:conifer,1,presto_frozen,128,16,15,0.0104876878431241,13.676336336880922,36.78945984997649,3.270233283750713
class:conifer,1,seasonal_median,128,16,15,0.0106145029421895,13.541935727000237,36.62592717943468,3.248254695907235
class:conifer,1,shared_residual_ssm,128,16,15,0.0102788976873853,13.037982251495125,36.89096000028985,3.1677341368049383
class:conifer,1,transformer_h16,128,16,15,0.0104794772014429,13.582316108047962,36.77761702738204,3.268932762555778
class:conifer,1,transformer_h8,128,16,15,0.0103058327113103,13.202634442597628,36.89705448032008,3.303792337886989
class:conifer,1,validation_selected_gru,128,16,15,0.0101008040837768,12.719551507383583,37.13035097857306,3.1642345869913697
class:conifer,1,validation_selected_physical,128,16,15,0.0109887598173372,15.508535835891962,36.62874826619546,3.3849279368296266
class:conifer,1,validation_selected_transformer,128,16,15,0.0103058327113103,13.202634442597628,36.89705448032008,3.303792337886989
class:conifer,2,forest_conditioned_gru,128,16,15,0.0099316486066527,12.69423582404852,37.029811030240886,3.129747216589749
class:conifer,2,forest_conditioned_ssm,128,16,15,0.0101069466327317,13.064019709825516,36.79133940612101,3.129255899228156
class:conifer,2,gru_h16,128,16,15,0.010352757632063,13.620951946824787,36.62826422242405,3.2473674919456244
class:conifer,2,gru_h8,128,16,15,0.0099316486066527,12.69423582404852,37.029811030240886,3.129747216589749
class:conifer,2,last_observation,128,16,15,0.0292548999386781,42.56401587277651,28.547786202387968,6.089103743433952
class:conifer,2,presto_frozen,128,16,15,0.0103398191204178,13.672828495502472,36.67018872324846,3.225557799451053
